"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000070","mitotic sister chromatid segregation",108,-0.743380897188913,-3.9182498155151,1e-10,3.84719101123596e-09,3.27735068007096e-09,608,"tags=61%, list=10%, signal=56%","Smc4/Nup62/Ncapd3/Xrcc3/Cdc20/Ska3/Knstrn/Fbxo5/Ccnb1/Kif23/Ube2c/Cdk1/Tubg1/Smc2/Cdt1/Plk1/Gen1/Racgap1/Zwilch/Kifc5b/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Uhrf1/Nuf2/Ncaph/Cenpk/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Prc1/Ccsap/Cit/Kif22/Ncapg2/Tpx2/Spc24/Cdca8/Kif18a/Knl1/Nsl1/Kif11/Spdl1/Bub1b/Aurkb/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Kif2c/Kifc1/Kif4/Nek2"
"GO:0000819","sister chromatid segregation",119,-0.72492798016132,-3.87913646693221,1e-10,3.84719101123596e-09,3.27735068007096e-09,636,"tags=59%, list=10%, signal=54%","Dpf3/Smc4/Nup62/Ncapd3/Xrcc3/Cdc20/Ska3/Rmi2/Knstrn/Fbxo5/Ccnb1/Kif23/Ube2c/Tacc3/Cdk1/Tubg1/Smc2/Cdt1/Plk1/Gen1/Racgap1/Zwilch/Kifc5b/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Uhrf1/Nuf2/Ncaph/Cenpk/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Prc1/Ccsap/Cit/Kif22/Ncapg2/Tpx2/Spc24/Cdca8/Kif18a/Top2a/Knl1/Nsl1/Kif11/Spdl1/Bub1b/Aurkb/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Kif2c/Kifc1/Kif4/Nek2"
"GO:0007059","chromosome segregation",222,-0.639930225871633,-3.78696598027165,1e-10,3.84719101123596e-09,3.27735068007096e-09,930,"tags=55%, list=15%, signal=49%","Sac3d1/Mis18a/Dpf1/Haus6/Diaph3/Ska2/Cdc6/Phf13/Mnd1/Rcc1/Cdk5rap2/Ncaph2/Nup43/Pmf1/Tubb5/Haus4/Cenpm/Haus1/Dpf3/Tubgcp6/Smc4/Sass6/Nup62/Ncapd3/Xrcc3/Dmc1/Cdc20/Ska3/Ccnb2/Ccne2/Rmi2/Spdya/Knstrn/Aurka/Fbxo5/Ccnb1/Kif23/Ube2c/Chtf18/Haus5/Rad18/Ndc1/Tacc3/Cdk1/Tubg1/Smc2/Cdt1/Cenpo/Fmn2/Plk1/Ccne1/Dlgap5/Gen1/Cenps/Racgap1/Cdca2/Zwilch/Kifc5b/Cenpe/Ect2/Anapc15/Kntc1/Sgo1/Ska1/Incenp/Cenph/Brca2/Birc5/Brca1/Cenpp/Uhrf1/Oip5/Nuf2/Ncaph/Cenpk/Cenpu/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Brip1/Cenpf/Prc1/Esco2/Ccsap/Cit/Kif22/Cenpn/Stil/Ncapg2/Tpx2/Spc24/Cdca8/Kif18a/Top2a/Knl1/Sgo2a/Nsl1/Mki67/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Aspm/Kif2c/Kifc1/Kif4/Gpsm2/Nek2"
"GO:0098813","nuclear chromosome segregation",162,-0.670332662365187,-3.75775594124104,1e-10,3.84719101123596e-09,3.27735068007096e-09,636,"tags=52%, list=10%, signal=48%","Dpf3/Smc4/Nup62/Ncapd3/Xrcc3/Dmc1/Cdc20/Ska3/Ccnb2/Ccne2/Rmi2/Spdya/Knstrn/Aurka/Fbxo5/Ccnb1/Kif23/Ube2c/Ndc1/Tacc3/Cdk1/Tubg1/Smc2/Cdt1/Fmn2/Plk1/Ccne1/Gen1/Racgap1/Zwilch/Kifc5b/Cenpe/Ect2/Anapc15/Kntc1/Sgo1/Ska1/Incenp/Brca2/Birc5/Uhrf1/Nuf2/Ncaph/Cenpk/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Brip1/Cenpf/Prc1/Ccsap/Cit/Kif22/Ncapg2/Tpx2/Spc24/Cdca8/Kif18a/Top2a/Knl1/Nsl1/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Aspm/Kif2c/Kifc1/Kif4/Nek2"
"GO:0000280","nuclear division",212,-0.634555929935441,-3.74798877537247,1e-10,3.84719101123596e-09,3.27735068007096e-09,609,"tags=48%, list=10%, signal=44%","Mtbp/Smc4/Hfm1/Nup62/Ncapd3/Xrcc3/Suv39h2/Dmc1/Cdc20/Ska3/Ccnb2/Ccne2/Spdya/Knstrn/Camk2b/Aurka/Rad51c/Fbxo5/Ccnb1/Kif23/Ube2c/Chtf18/Ndc1/Cdk1/Tubg1/Smc2/Cdt1/Fmn2/Plk1/Ccne1/Gen1/Cenps/Racgap1/Cdca2/Zwilch/Kifc5b/Rad54l/Rad51/Cenpe/Anapc15/Kntc1/Sgo1/Ska1/Cdc25b/Incenp/Brca2/Birc5/Uhrf1/Nuf2/Ncaph/Cenpk/Fignl1/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Brip1/Prc1/Rad54b/Ccsap/Ankle1/Cit/Kif22/Eme1/Ncapg2/Rps6ka2/Tpx2/Rad51ap1/Spc24/Fanca/Cdca8/Kif18a/Top2a/Knl1/Sgo2a/Nsl1/Mki67/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Mastl/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Aspm/Kif2c/Kifc1/Kif4/Nek2"
"GO:0140014","mitotic nuclear division",140,-0.658636830210958,-3.61916604660755,1e-10,3.84719101123596e-09,3.27735068007096e-09,609,"tags=50%, list=10%, signal=46%","Mtbp/Smc4/Nup62/Ncapd3/Xrcc3/Cdc20/Ska3/Knstrn/Aurka/Fbxo5/Ccnb1/Kif23/Ube2c/Cdk1/Tubg1/Smc2/Cdt1/Plk1/Gen1/Racgap1/Cdca2/Zwilch/Kifc5b/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Uhrf1/Nuf2/Ncaph/Cenpk/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Prc1/Ccsap/Cit/Kif22/Ncapg2/Tpx2/Spc24/Cdca8/Kif18a/Knl1/Nsl1/Mki67/Kif11/Spdl1/Bub1b/Aurkb/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Kif2c/Kifc1/Kif4/Nek2"
"GO:0051304","chromosome separation",50,-0.80828174962053,-3.57186158700696,1e-10,3.84719101123596e-09,3.27735068007096e-09,608,"tags=76%, list=10%, signal=69%","Smc4/Ncapd3/Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Ube2c/Smc2/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Ncaph/Mad2l1/Trip13/Ncapd2/Bub1/Ncapg2/Spc24/Cdca8/Top2a/Knl1/Spdl1/Bub1b/Aurkb/Espl1/Spc25/Ttk/Ndc80/Haspin/Ncapg"
"GO:1903047","mitotic cell cycle process",350,-0.571959943338335,-3.57005695409675,1e-10,3.84719101123596e-09,3.27735068007096e-09,862,"tags=45%, list=14%, signal=41%","Ska2/Cks2/Nasp/Cdc6/Phf13/Pcnt/Rcc1/Stx2/Cdk5rap2/Stmn1/Ncaph2/Mcm6/Enkd1/Pcna/Donson/Cks1b/Mrnip/Topbp1/Stk35/Cenpa/Cdkn2c/Ezh2/Rad9a/Dpf3/Mcm3/Psme3/Mtbp/Smc4/Sass6/Tipin/Nup62/Skp2/Ncapd3/Xrcc3/Tcf19/Cdc20/Ska3/Pkmyt1/Ccnb2/Ccne2/Dtl/Spdya/Dbf4/Knstrn/Lmnb1/Camk2b/Mcm2/Aurka/Pola1/Rad51c/Rtel1/Dna2/Cdkn1a/Fbxo5/Kif20a/Ccnb1/E2f1/Kif23/Ube2c/Rrm1/Blm/Lig1/Ckap2/Tacc3/Cdk1/Atad5/Tubg1/Smc2/Orc1/Cdt1/Pole/Plk1/Ccne1/Efhc1/Dlgap5/Gen1/Racgap1/Cdca2/Zwilch/Kifc5b/Rad51/Wdr62/Cenpe/Ect2/Anapc15/Kntc1/Cdc7/Cdc45/Ska1/Cdc25b/Incenp/Cenph/Brca2/Birc5/Brca1/Uhrf1/Nuf2/Rad51b/Ncaph/Bard1/Tk1/Cenpk/Mad2l1/Clspn/Mybl2/Trip13/E2f7/Ncapd2/Bub1/Cenpf/Prc1/Sapcd2/Ccsap/Ccna2/Ccnf/Cdc25c/Cit/Kif22/Eme1/Stil/Ncapg2/Iqgap3/Rrm2/Tpx2/Spc24/Cdca8/Kif18a/Knl1/Nsl1/Mki67/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Mastl/Cenpi/Ticrr/Espl1/Kif20b/Nusap1/Foxm1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/D7Ertd443e/Kif14/Anln/Ncapg/Kif2c/Kifc1/Kif4/Gpsm2/Nek2/Cep55"
"GO:1903046","meiotic cell cycle process",113,-0.670528798070135,-3.5690715644729,1e-10,3.84719101123596e-09,3.27735068007096e-09,862,"tags=61%, list=14%, signal=53%","Ska2/Cks2/Mnd1/Ncaph2/Mcm6/Fancm/Topbp1/Stk35/Rmi1/Mcm3/Smc4/Hfm1/Ncapd3/Mcm5/Suv39h2/Dmc1/Cdc20/Ska3/Pkmyt1/Ccnb2/Ccne2/Spdya/Camk2b/Mcm2/Aurka/Rad51c/Fbxo5/Chtf18/Ndc1/Tubg1/Smc2/Fmn2/Plk1/Ccne1/Cenps/Rad54l/Rad51/Cenpe/Sgo1/Ska1/Cdc25b/Incenp/Brca2/Birc5/Nuf2/Ncaph/Fignl1/Trip13/Ncapd2/Brip1/Rad54b/Ankle1/Cdc25c/Eme1/Rps6ka2/Rad51ap1/Fanca/Kif18a/Top2a/Knl1/Sgo2a/Fancd2/Mastl/Espl1/Ttk/Ndc80/Haspin/Aspm/Katnal2"
"GO:0051983","regulation of chromosome segregation",68,-0.731710567615252,-3.53714576838434,1e-10,3.84719101123596e-09,3.27735068007096e-09,636,"tags=65%, list=10%, signal=59%","Dpf3/Smc4/Ncapd3/Xrcc3/Cdc20/Ska3/Rmi2/Fbxo5/Ccnb1/Ube2c/Chtf18/Rad18/Tacc3/Cdk1/Smc2/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Ncaph/Mad2l1/Trip13/Ncapd2/Bub1/Cit/Ncapg2/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin/Ncapg/Kif2c"
